name,price_usd,subscription,purchases,est_gross_usd,users,likes,trial_days,freemium,third_party,publisher,created,updated,editor_types,tagline,id
Vectary | 3D Studio Lite,0.0,,0,0.0,800410,10375,,,True,vectary,2024-11-25,2024-11-25,"design,slides,whiteboard","Load your 3D models, set your view and materials as you desire and export it to a frame!",6bca1ef6-3c6c-4100-813e-2de0b38e9d19
Blush,0.0,,0,0.0,665022,11824,,,True,pablo,2024-11-25,2025-08-20,design,,71fa1960-208b-419a-8753-1481e81076c5
Mockuuups Studio - now with print mockups,0.0,,0,0.0,623775,5907,,,True,mockuuups,2024-11-25,2026-02-03,"design,slides",Mockup generator with 5100+ mockups.,eb72ec8f-dcae-4d8c-a395-c3bb8a0e45cc
Convertify Sketch/Adobe/Google,0.0,,0,0.0,537684,5269,,,True,hypermatic,2024-11-25,2026-08-19,design,"Export to Sketch, XD, After Effects, PSD, InDesign — or — Import XD, Illustrator, PSD, InDesign, PDF",a000b86f-32d6-4b4a-a55f-4ff18e17e3da
TinyImage Compressor,0.0,,0,0.0,526118,4720,,,True,hypermatic,2024-11-25,2026-08-22,"cooper,design,slides","Export/downsize compressed JPG, PNG, SVG, WebP, GIF, WebM, MP4, AVIF and PDF image files from Figma",5cc58d43-29e1-43d0-8d98-f33c8febc9bf
Pitchdeck Presentation Studio,0.0,,0,0.0,500640,6043,,,True,hypermatic,2024-11-25,2026-08-07,"cooper,design,slides",Turn your Figma designs into animated slide decks or export them to PowerPoint/PDF,f2b86782-a0b2-428c-9068-ad47b8cffa1a
"Streamline: Icons, Illustrations, Emoji, Elements",0.0,,0,0.0,467463,6535,,,True,streamline_hq,2024-11-25,2026-06-30,"design,slides,whiteboard",🏆 Voted Figma's Best Graphic Design Resource at Config,d2d5dd33-408d-4908-a3e0-9c22b66ecc0a
Chart,0.0,,0,0.0,426984,4985,,,True,pavelkuligin,2024-11-22,2026-04-20,"design,slides",Create any chart in Figma without spending time on setup,0ea65f61-1e08-447b-a7a0-c3edc6dc0029
Background remover,0.0,,0,0.0,398939,316,,,True,74054866_ae50_4,2024-11-26,2024-11-26,design,,6ccca47a-283e-45e0-8295-57900508833e
Motion – Animate UI & Create Animations in Figma,0.0,,0,0.0,379608,5695,,,True,babkinpavel,2024-11-25,2026-04-22,design,"Animate UI in Figma. Export to video, GIF, SVG.",2203b811-2941-40cb-b59d-0343ee89f3b6
Flaticon by Magnific,0.0,,0,0.0,368179,1959,,,True,fp_integrations,2024-11-26,2026-04-28,"design,whiteboard","Search through 5,000,000+ pixel-perfect icons, stickers and vectors (from Freepik)",59629ea7-2a5e-43af-aa0e-763f9845b1ad
Tokens Studio for Figma,0.0,,0,0.0,367084,7528,,,True,jsx,2024-11-25,2026-02-04,"design,dev_handoff",The scalable design tokens solution for Figma,5dafed4d-0f61-4689-8fec-7c170e17edec
Filter / effects,0.0,,0,0.0,352640,4159,,,True,Andreslav,2024-11-25,2024-11-25,"design,whiteboard",Modify images more than 50 different effects right in Figma!,776f3a5a-f6a0-433d-bbe8-5aebedcbf370
MockRocket – 3D Mockups,0.0,,0,0.0,342869,1179,,,True,mockrocket,2024-11-25,2024-11-25,design,,4ed7401c-2e20-4f4e-b9c6-a9dbbd48874a
Export to GIF/Video (+Lottie),0.0,,0,0.0,325264,3102,,,True,evanatcreativef,2024-11-26,2026-08-03,design,Export animations to GIF or Video in one-click,cbcf5253-ca18-4b21-a8ad-c164b8ee112e
"UX Pilot: AI UI Generator, Design System & Wireframe Generator",0.0,,0,0.0,315672,3927,,,True,adamfard,2024-11-26,2026-03-05,"design,whiteboard","Generate UI Designs, Design System, Wireframes & Components (Desktop, Mobile)",71b3ba46-1c01-4496-bc6f-88e62a6fb8d3
Breakpoints,0.0,,0,0.0,312944,6668,,,True,arthur,2024-11-25,2026-09-14,design,Preview responsive/adaptive layouts right inside Figma design for free. Horizontal/vertical points,73777cda-1729-43ed-b00d-5a0fa7b7f5ae
Mesh gradients,0.0,,0,0.0,299692,1931,,,True,oodesign,2024-11-25,2024-11-25,design,Create awesome real mesh gradients right inside Figma.,b6fb2f22-3056-41c7-86a5-01f0441f8a51
Zeplin,0.0,,0,0.0,293023,2895,,,True,zeplincrew,2024-11-25,2026-03-26,design,"Design tools are for designing. Zeplin is for clear, structured design delivery.",9c481f68-0f09-464f-bf67-bc94813c7a24
Removal.AI - Free Background Remover,0.0,,0,0.0,292368,387,,,True,trinhpapa,2024-11-25,2024-12-09,design,Background remover free with one click,e5b4a796-8b38-4c35-9f4b-8005343266a4
Web to Figma - Convert any website or HTML code to design,0.0,,0,0.0,265041,3501,,,True,webtofigma,2024-11-26,2026-06-19,design,Import any website or HTML code to Figma editable design. Goodbye screenshots.,e7d83ae5-7345-4c8c-9d35-bf880b344d2c
Insert Big Image,0.0,,0,0.0,233383,4142,,,True,yuanqing,2024-11-25,2024-11-25,"design,whiteboard",Insert and retain the original resolution of big images,fff9cc6e-b24e-4e58-b365-4cfbad29e73f
Magic Cut - remove background,0.0,,0,0.0,229983,843,,,True,99838267_3bb4_4,2024-11-26,2024-11-26,design,A tool for easy background removal,9cdb2e0b-678d-441b-944d-3371c5695b89
PicWish Background Remover,0.0,,0,0.0,224254,512,,,True,PicWish,2024-11-26,2025-01-17,design,Remove background with AI Fast,9cbfc572-034b-44dd-a6f0-e310dc6b5247
Design System Organizer,0.0,,0,0.0,205180,3099,,,True,arthur,2024-11-25,2026-09-02,design,"Extended swap for variables/styles/components, export variables/styles, bulk-audit library & mockups",c6893bd4-72b2-43c9-ae8f-ba2357f5cac6
"Flat-Icons — 3D icons, 2D icons, animations",0.0,,0,0.0,204004,484,,,True,flaticons,2024-11-25,2025-04-14,"design,whiteboard","31,000+ premium icons (2D, 3D, and Animated)",d6d19c89-b0c3-4764-a2eb-00ce5d3d96e2
ProtoPie,0.0,,0,0.0,201028,3471,,,True,protopie,2024-11-25,2026-01-19,design,"High-fidelity prototyping for Figma. Import Figma designs and add dynamic, conditional interactions.",e8eaf5d2-a42d-44ac-b6bb-26d2971c0323
BackgroundCut,0.0,,0,0.0,189717,178,,,True,a037281d_0519_4,2024-11-25,2025-01-17,design,,091b3640-e85a-43be-b9a5-5507d61b99ea
Vector to 3D,0.0,,0,0.0,186907,5466,,,True,pissang,2024-11-26,2025-12-26,design,Brings 3D design into your Figma workflow seamlessly.,e6f22db7-378a-47a7-acb7-ba5fb54a84e5
SPELLL - Spelling & Grammar Checking for Figma & FigJam,0.0,,0,0.0,185956,1419,,,True,tkmadeit,2024-11-25,2025-11-23,"design,slides,whiteboard",Spelling & Grammar Checking for Figma & FigJam,b8112d25-393e-45ad-8524-ec08050fd595
Localy — Map Generator,0.0,,0,0.0,172493,340,,,True,armanrokni,2024-11-25,2024-11-25,design,,1dae4c9d-6c34-45bf-9006-e4dc66332271
"Aninix · UI animation and Motion design. Export Lottie, MP4, GIF",0.0,,0,0.0,166690,2389,,,True,tonypinkevych,2024-11-25,2026-05-16,design,"Create motion design within Figma. Export Lottie animations, GIFs, or mp4.",0455e69b-b4d7-4d0e-a08a-80263755a4e3
Flowkit,0.0,,0,0.0,165670,1174,,,True,mds,2024-11-25,2025-01-17,design,The fastest and easiest way to create user flows,09b823d5-7842-43d7-a67a-8b91c097fb10
Font Replacer Ultimate 🔁 Swap change and replace fonts,0.0,,0,0.0,164535,469,,,True,kolebayev,2024-11-25,2026-02-17,"design,whiteboard",Replace fonts through all pages and artboards,c3ba4acb-c5b2-4c38-a45a-583698cd74a3
AI Image Upscaler,0.0,,0,0.0,159983,1838,,,True,mengto,2024-11-26,2025-10-28,design,Upscale your images up to 8X using AI,681e415d-0bb5-4c47-bdca-a59f4e4da8d1
Warp Tools,0.0,,0,0.0,153426,1342,,,True,petter,2024-11-25,2024-11-25,design,,39c3ccbe-110e-49a7-bcd7-c1210cbbbc84
"Compressed PDF and Image Exporter (PDF, PNG, JPG, WebP)",0.0,,0,0.0,145786,556,,,True,ODW,2024-11-26,2024-11-26,design,Export compressed PDFs and images at efficient file sizes from Figma while controlling for quality.,591c2c1c-24cb-48b1-85eb-190de8c09655
SVG motion,0.0,,0,0.0,144853,2896,,,True,davv,2024-11-25,2024-11-25,design,Plugin for Figma which helps to create attractive animations for your product.,936be59d-daf5-45e9-b4ad-e03533092d8b
"Wannathis — Mockups, 3d illustrations",0.0,,0,0.0,139814,874,,,True,wannathis,2024-11-26,2025-12-08,"design,whiteboard",Huge library Mockups and 3d illustrations,b1513666-3f2b-4967-95c7-d9ffbe64da82
Export Figma to Websites and HTML by Siter.io,0.0,,0,0.0,139524,1788,,,True,designmodo,2024-11-25,2024-11-25,design,Publish Figma designs as websites without the need for coding. Embed HTML code into your website.,0bd74304-8e12-4fb3-822b-d11112e81d7e
Text to Design - AI Assistant,0.0,,0,0.0,136996,1261,,,True,olliethedev,2024-11-26,2024-11-26,design,Turn your ideas or images into Figma designs with AI.,c8a2e139-deee-486f-be94-4a969463f8f3
Emailify HTML Email Builder,0.0,,0,0.0,136495,2039,,,True,hypermatic,2024-11-25,2026-08-29,design,"Design and export responsive, production ready HTML emails from Figma",fe7e99a5-eb79-4b9c-af0b-505819e3a5bb
Vectorizer,0.0,,0,0.0,136353,277,,,True,designisblank,2024-11-26,2025-02-05,design,Convert any image to vector!,bfd5013c-0ab1-466e-bf98-114c1f483d73
CopyDoc Text Kit,0.0,,0,0.0,127008,1299,,,True,hypermatic,2024-11-25,2026-08-07,"cooper,design,slides","Everything you need to easily export, import, localize, spell check, and update Figma text",d464349f-1746-46c7-bcec-c98552eb09f9
Clean Document,0.0,,0,0.0,126410,3043,,,True,yuanqing,2024-11-25,2025-08-04,design,Automagically organize and clean up your Figma document,25b2bb9e-f98c-4a26-8301-3f613dddab0c
Handy Components,0.0,,0,0.0,125782,1233,,,True,kolyba,2024-11-25,2024-12-04,"design,whiteboard","Instantly paste useful UI components like calendar, search, cards and more in Figma and FigJam",3eca50a7-2f7a-4f46-bde1-a3a674648176
FigGPT,0.0,,0,0.0,122957,2555,,,True,olexdsgn,2024-11-26,2026-01-31,"design,whiteboard",Use ChatGPT in Figma or FigJam! 🎉,8acd40d9-fcef-4f6e-ba0d-928930d0db4b
Erase.bg - Remove Background,0.0,,0,0.0,120189,140,,,True,845e0805_e466_4,2024-11-26,2024-11-26,design,Remove Background From Images For Free,1fba88ab-b68d-40d2-a9d6-7130a34e9fc5
Handz 3D Illustration,0.0,,0,0.0,113798,992,,,True,sonny,2024-11-25,2024-11-25,"design,whiteboard",This plugin brings the amazing 3D illustations library called HANDZ to Figma.,77d67b9e-0b46-43d6-8893-e46f52bb6540
Illustrator Importer,0.0,,0,0.0,107434,1626,,,True,figmats,2024-11-26,2024-11-26,"design,whiteboard",Import adobe illustrator (.ai) files directly into Figma & FigJam,b4885aa4-0cec-4363-b142-2e5e7033e6e5
Artify Illustrations,0.0,,0,0.0,105410,637,,,True,ArtifyCrew,2024-11-25,2024-11-25,"design,whiteboard",,ae0970e3-bd93-44ab-a244-d0ce85f7acf9
Supa Palette,0.0,,0,0.0,105074,2799,,,True,angelolibero,2024-11-25,2025-01-17,design,The ultimate color palette generator for Figma,f5778035-bd7d-4931-9fd9-d474b78a4977
Figma to WordPress,0.0,,0,0.0,103424,2104,,,True,yotako_io,2024-11-26,2025-12-27,design,Figma to WordPress! Create WordPress websites online and download WordPress themes in a few clicks!,4af85daa-42cb-4869-ae78-4eeda70233ef
Hugeicons Icon Library,0.0,,0,0.0,99139,1178,,,True,masump,2024-11-26,2026-07-10,"design,whiteboard","Beautiful SVG Icon Library with over 50,000+ Icons",f66349c2-ea83-4f6e-aa7f-13bec0ab168f
"QoQo.ai - AI generated UX personas, journey mapping, sitemap, and copywriting",0.0,,0,0.0,98009,1726,,,True,Tamer,2024-11-26,2026-02-14,"design,whiteboard",Save up to 80% on your UX design research time.,3d97bfd7-d019-4e69-bb90-af4fff058632
Forms,0.0,,0,0.0,96021,450,,,True,dejong,2024-11-25,2024-11-25,design,Forms in the blink of an eye,eb0fa9d1-ca2e-4e7f-a9b3-2ac7851e7354
Text to Design AI UI Copilot - uidesign.ai,0.0,,0,0.0,95079,613,,,True,dami,2024-11-26,2026-07-08,design,Watch AI design your prompt in real time. You can also use this plugin to update existing artboards,d7f8ca18-9605-42ba-a015-71f89f5d0bab
Font Awesome Icons (Official),0.0,,0,0.0,94169,1588,,,True,edwardemanuel,2024-11-26,2026-08-12,"design,whiteboard",Go make something awesome,c3b2aec6-5d31-4d0b-a14a-d77ea1c40323
"Image - Remove Background, Upscale, Downsize, Compress, Edit image",0.0,,0,0.0,93901,498,,,True,babkinpavel,2024-11-26,2024-11-26,design,The ultimate tool for image processing,f42b38dd-68ea-4c35-983a-eee30eff6299
Ruri Splines v2,0.0,,0,0.0,93796,1872,,,True,klavs,2024-11-25,2026-05-04,design,"Create stunning abstractions, blobs, splines, spots.",a739319b-affa-4921-9e68-4ae3b6efb405
Figma to React from Quest,0.0,,0,0.0,93179,756,,,True,questaisupport,2024-11-25,2024-11-25,"design,dev_handoff",Quest AI - Easiest way to build React Apps using AI,cddab986-5753-40e0-9bbe-d73706790758
FireJet - Export Figma Design to Code | Tailwind | React | Vue | Svelte | HTML | TypeScript,0.0,,0,0.0,90855,429,,,True,firejet,2024-11-25,2024-11-25,"design,dev_handoff",Export Figma to Code in One Click,9cba8833-0773-4ef7-adf3-a4dc0a01a248
"Attention Insight: AI heatmap, clarity score, focus map, contrast map",0.0,,0,0.0,79414,1505,,,True,donpui,2024-11-25,2026-02-15,design,Instantly generate AI heatmaps with predictive eye-tracking technology. Boost conversions.,096e80d2-0cf2-4d26-b735-68aa046eeb9b
Bannerify Banner Studio,0.0,,0,0.0,78110,1082,,,True,hypermatic,2024-11-25,2026-08-20,"cooper,design","Animate and export production ready banners from Figma to HTML, GIFs and Videos",b0250299-316d-4e40-bfe8-048cb0b30285
Image2Vector,0.0,,0,0.0,76915,324,,,True,adeelabs,2024-11-26,2026-07-14,design,Best-in-class raster-to-vector conversion,bf66c5b1-d0b0-43cc-b7e7-a0705a299031
Mockplus,0.0,,0,0.0,74867,818,,,True,mockplus,2024-11-25,2026-04-14,design,Design Faster. Collaborate Better.,60aa0b49-8842-47db-9456-3adf7ef27995
"Codelessly - Figma to Websites and Apps (Figma to Code, Figma to Flutter, HTML, CSS)",0.0,,0,0.0,73580,327,,,True,codelessly,2024-11-26,2024-11-26,"design,dev_handoff","Convert designs into working UI, Apps, and Websites.",26894f45-9adb-477f-b99f-839c1c657323
The Icon of - Icon set,0.0,,0,0.0,73076,573,,,True,majo_puterka,2024-11-25,2025-04-14,"design,whiteboard",Access 1100+ pixel-perfect icons directly in Figma. Find and paste easily across diverse categories.,5c9c23cb-6f1d-402e-9088-a5138aa1a6d4
Typper - Images,0.0,,0,0.0,69367,226,,,True,typper,2024-11-26,2025-03-20,"design,whiteboard",Create and edit AI-powered images directly in Figma – unleash your creativity.,375a67cb-379c-40a0-b53b-a4cf27362b22
Parallax,0.0,,0,0.0,68947,2778,,,True,davv,2024-11-26,2025-02-04,design,Parallax animation in one click!,d53abb42-b5ad-44bc-b6ce-88a008598947
Master,0.0,,0,0.0,61390,2319,,,True,g,2024-11-25,2026-03-31,design,"Create, attach, clone and move components in a couple of clicks without losing overrides! 🔥",65882e91-51e5-4e40-880c-c1835bf35c4d
Clipping Magic BG Removal,0.0,,0,0.0,57829,72,,,True,clv,2024-11-25,2024-11-25,design,,772df82b-d966-42b0-a551-361b2126cafc
Physics animation,0.0,,0,0.0,57503,1668,,,True,davv,2024-11-25,2025-04-13,design,Plugin Physics Animation allows to animate layers by changing physical properties.,7441e33e-f45c-4acd-9c3d-c0fed4053727
Flipbook Animator GIF,0.0,,0,0.0,57164,640,,,True,sonny,2024-11-25,2024-11-25,"design,whiteboard","Animate your figma design, export to GIF",e74817df-6f56-426a-abfe-70fc071b0377
"Printery — Print Export for Figma | CMYK, Bleed & Crop Marks (formerly Printify)",0.0,,0,0.0,57018,454,,,True,storyship,2024-11-26,2026-05-10,"cooper,design,whiteboard","CMYK PDF export with bleed, crop marks, ICC profiles, spot colors & DPI control.",27f6252f-ca96-47a3-ae9b-16d1833dcc59
Dora AI - Generate Websites in Figma,0.0,,0,0.0,54692,1185,,,True,DoraTool,2024-11-26,2024-11-26,"design,whiteboard",Turn Your Website Ideas into Figma Designs in Seconds,f1feeb3e-d7c3-4c63-bff3-a20d70bffa39
Eps Importer,0.0,,0,0.0,53222,405,,,True,figmats,2024-11-26,2026-04-13,"design,whiteboard",Import eps files directly into Figma & FigJam,fcc7a065-6f8d-4cba-9885-7ba2fc0df625
Gifmock,0.0,,0,0.0,50299,323,,,True,stevenfabre,2024-11-25,2026-09-09,design,Gifmock is a tool that helps you create high-quality GIFs from your Figma frames.,3c571551-48de-4812-8c92-8e377719f51f
Auto Icon,0.0,,0,0.0,49011,341,,,True,uxplugins,2024-11-25,2025-04-14,design,Instant Access to +160K SVG Icons,01e97283-1e06-487b-880b-8f7d04094ff2
Vectorized Pro (PNG to SVG),0.0,,0,0.0,48483,65,,,True,hurryflash,2024-11-26,2025-01-17,"design,whiteboard",Pro version of the Vectorized (PNG to SVG) plugin,f2358a8b-d0be-4b57-b417-51944f69ae74
Overflow,0.0,,0,0.0,46284,628,,,True,overflowapp,2024-11-25,2024-11-25,design,The Overflow plugin extends Figma’s functionality to create beautiful user flow diagrams.,a5e5f03a-1dd4-4a15-8d58-17d8c43d2943
PowerPoint Importer,0.0,,0,0.0,41599,526,,,True,figmats,2024-11-26,2024-11-26,"design,whiteboard","Import PowerPoint files directly into Figma, FigJam and Figma Slides.",4fec2a70-25fd-4c7d-ba63-7e1dc0ccb0f3
Spectrum,0.0,,0,0.0,41282,2508,,,True,milanmaheshwari,2024-11-25,2025-08-04,"design,whiteboard",Generate beautiful color palettes & apply them instantly to anything,9a2f6c9d-0727-444d-a39d-28ff3855afe0
Health Icons by Iconduck,0.0,,0,0.0,40669,183,,,True,iconduck,2024-11-26,2025-04-14,"design,whiteboard","Health Icons is an open source library of 1,032 icons. Free to use in all designs.",96b17222-8eef-4151-b27c-fb5f64419859
AI Email Designer by Kopi AI,0.0,,0,0.0,40271,501,,,True,robertnowell,2024-11-25,2025-11-09,design,"Kopi AI creates effective HTML marketing emails for Shopify, Klaviyo, Mailchimp for e-commerce",77f40ee6-5233-48b3-97b2-f43414f501ac
Free Icons,0.0,,0,0.0,40211,76,,,True,ce8592ea_6948_4,2024-11-26,2025-04-14,"design,whiteboard","1 Million+ Free icons and illustrations, 2 Million+ Premium icons.",81a015ee-6eb7-44b7-9f1b-07ecc407753f
Writer for Figma,0.0,,0,0.0,40037,753,,,True,writer,2024-11-25,2024-11-25,"design,whiteboard","Writer | Clear, consistent, on-brand copy | Checks grammar + spelling",d13d1e21-25dc-4909-97d4-c4621c93d86b
Blossom,0.0,,0,0.0,38726,198,,,True,aaronveale,2024-11-25,2024-11-25,"design,whiteboard",Bring user research to where the work happens,3d6b17c3-44e9-4c16-bf7b-d263efc422ab
"MagicPattern – Create Patterns, Mesh Gradients, Effects and more.",0.0,,0,0.0,38501,964,,,True,dmraptis,2024-11-26,2026-06-27,design,"Generate patterns, gradients, blobs, and more, with 14 mini design tools",5f960d5b-0c53-4a28-a8e8-19ccb2d7d646
Protonix · Export prototypes to Lottie/Video/GIF,0.0,,0,0.0,36954,155,,,True,tonypinkevych,2024-11-26,2024-11-26,design,Export Figma prototype to any media format in a one click,1ccbe726-469b-4244-b864-94711f3e45bd
Crafttor,0.0,,0,0.0,34300,368,,,True,CrafttorDesign,2024-11-25,2026-06-19,"design,whiteboard","Organise, Share & Collaborate",75533369-ec1c-4678-b068-6a83d5cb1ba0
Paint,0.0,,0,0.0,34146,177,,,True,g,2024-11-25,2025-03-20,"design,whiteboard",The fastest way to apply your brand colors in FigJam 🎨,1f550d77-c0fa-4b46-8877-953136c02668
Flowbase Component Library,0.0,,0,0.0,33890,848,,,True,flowbase,2024-11-26,2025-11-24,design,Discover the worlds largest Figma component library,a23410e9-a6b7-4a56-a359-a71fbb23f16e
"BrandBird – Add backgrounds, device mockups, annotations, and more",0.0,,0,0.0,33765,483,,,True,dmraptis,2024-11-25,2026-07-24,design,"Turn Figma frames into beautiful social media mockups with device mockups, 3D effects, and more.",7056280d-50ef-425f-ba50-f0205f981f43
Ruri Gradiator,0.0,,0,0.0,33481,1057,,,True,klavs,2024-11-26,2025-03-17,design,Generate unique complex gradients supa fast!,b58296a0-fee6-4488-bca1-5079e15e348f
Flow Exporter,0.0,,0,0.0,33062,315,,,True,t2davs,2024-11-25,2025-01-17,design,,56e77ea1-d15d-4a6d-ab72-004a32b7edf4
Remove BG by Pixcleaner,0.0,,0,0.0,32724,76,,,True,pixcleaner,2024-11-26,2024-11-26,design,Remove background of images with just a single click.,68cc405f-ce09-4ce8-bd00-2ef4ae28e047
Shape move,0.0,,0,0.0,30610,1298,,,True,davv,2024-11-26,2024-11-26,design,Animates anchor points,0532e42f-e7d4-405f-a99e-d51d8c066015
MockFlow SiteMap,0.0,,0,0.0,30599,173,,,True,54f723f6_a39d_4,2024-11-25,2025-01-17,design,,c40ccc6b-f76f-417d-a229-f9950cf1444c
Icons → Code,0.0,,0,0.0,30591,183,,,True,9f9b4889_aece_4,2024-11-25,2025-04-14,design,,7b8ec055-b38c-4a56-9b99-8a3dadf80daf
Favvy Favicon Exporter,0.0,,0,0.0,30434,291,,,True,hypermatic,2024-11-25,2026-08-07,design,Export production ready Favicons for your website or PWA from Figma in seconds,a90ca32e-bacf-40df-b87c-13ab388f9684
Better File Thumbnails,0.0,,0,0.0,28933,849,,,True,kolyba,2024-11-25,2024-11-25,"design,whiteboard",Create a beautiful thumbnail with a visual editor or save your own template to use in any file,fc8e4628-d1c5-4722-9ef7-2bb47ea2978b
Data Lab,0.0,,0,0.0,28718,483,,,True,pavelkuligin,2024-11-25,2024-11-25,"design,whiteboard",Paste random or real data into text layers and components easily,79628f9a-cf59-4f1e-b43d-dadaf8439f30
Map Chart,0.0,,0,0.0,28497,88,,,True,GenuineImpact,2024-11-26,2025-01-27,design,,475b4df5-cca6-4287-897b-b1712bdcc047
Crypto Password Protection,0.0,,0,0.0,26633,221,,,True,hypermatic,2024-11-25,2026-08-07,design,Securely share Figma designs and prototypes as password protected URLs or PDF files,8896284a-3aa5-4a3e-9ae3-378a4649c637
"Pixcap - Customizable 3D Icons, Characters & Illustrations",0.0,,0,0.0,26044,240,,,True,pixcap,2024-11-26,2024-11-26,"design,whiteboard","3D icons, icon packs, illustrations, characters by Pixcap",ad9e9afa-e258-4d28-8601-313ebd41bdcf
Line Chart,0.0,,0,0.0,25931,84,,,True,GenuineImpact,2024-11-26,2025-01-17,design,Create a line chart quick and easy,10d091d5-e51f-4aa8-85a3-8516c1ec693a
Variables manager: reorder and copy variables between files,0.0,,0,0.0,25902,190,,,True,figgy,2024-11-26,2025-11-22,design,"Save, copy, and reorder variables across files easily",b23051a9-bfa0-4dd3-84ec-7e881b7e23d1
Lokalise,0.0,,0,0.0,23134,333,,,True,3719dc79_a72c_4,2024-11-25,2025-12-04,"cooper,design",Quickly include translated content in your designs,91e9dc41-056a-4014-b4a5-93d476d945d2
Remove Background (Privacy-First),0.0,,0,0.0,23038,87,,,True,storyship,2024-11-26,2025-12-12,"design,whiteboard","Remove the background from your images automatically with a single click, powered by remove.bg API.",ffdbcf84-cfc0-4218-994d-3c5ff3038866
MockFlow,0.0,,0,0.0,22847,164,,,True,54f723f6_a39d_4,2024-11-25,2026-02-26,design,Export MockFlow Wireframes to Figma,df3eb8df-0f83-49e7-bda9-b5ddfaf06f7b
Ruri – Artwork Generator,0.0,,0,0.0,22727,467,,,True,klavs,2024-11-25,2025-01-17,design,,fa71a931-ed78-483e-971c-e417e18b94c5
SpellCheck,0.0,,0,0.0,22167,164,,,True,stas_sliday,2024-11-26,2026-03-16,design,"Make no mistake, this is the best spell-checking and grammar plug-in for Figma and its power users.",d5c13c04-d755-4ac6-9ede-18e13fea5a34
story.to.design — by ‹div›RIOTS — Import Storybook components to Figma components,0.0,,0,0.0,21374,672,,,True,divriots,2024-11-25,2024-11-25,"design,dev_handoff",Generate and sync a full Figma library from Storybook or Histoire,94efdae9-694e-40b9-aa9c-510ab0df8461
Design Mirror,0.0,,0,0.0,20661,310,,,True,cutterman,2024-11-25,2026-07-25,design,live preview your design on mobile phone,36633f70-f529-47de-9727-7dcb032877e3
FigOCR,0.0,,0,0.0,20415,215,,,True,obrastudio,2024-11-26,2026-02-24,design,A Figma plugin to never retype text from a screenshot again,ceec0977-40ce-49bf-9a75-d812c5670bc3
IconCrab - Icon Exporter,0.0,,0,0.0,20341,84,,,True,gurayyarar,2024-11-25,2025-04-14,design,,81f242d8-36fa-48cc-b1d8-0477e45d57a2
UI Copy,0.0,,0,0.0,20016,331,,,True,mightyalex,2024-11-25,2026-03-21,"design,slides,whiteboard","Your clients, and yourself, deserve а better copy.",0648bea8-e153-4100-9a98-798fa74f8194
Buzzy - No Code Native App & Website Builder,0.0,,0,0.0,19728,435,,,True,adamgins,2024-11-25,2024-11-25,design,Convert your figma designs to full stack working apps - no code.,b83013e4-1c4d-4765-8107-90e3ec2c47be
SwiftUI Inspector,0.0,,0,0.0,19539,521,,,True,outermeasure,2024-11-25,2026-08-18,design,Turn Figma designs into SwiftUI code.,6307ee96-e472-4c3d-bc88-2933f99b6a37
Sizze - Figma to Native powered by AI,0.0,,0,0.0,19160,345,,,True,sizze,2024-11-25,2024-11-25,design,Convert your Figma frames to Native Code,7299e9f9-aceb-460f-b0aa-2ed9bb6a5f51
Befront,0.0,,0,0.0,18969,461,,,True,befront,2024-11-25,2026-01-21,design,The fastest way to learn Figma interactively,37cd8b43-4982-4aa0-aaab-d93d41f5e1fd
CodeFun,0.0,,0,0.0,18538,532,,,True,CodeFun,2024-11-25,2025-01-17,design,UI设计稿智能生成前端源代码,d0c5ee06-c0f1-4fb5-8b16-0a625b35ba78
"UIHut - UI Kit, Illustrations, 3D Assets",0.0,,0,0.0,18106,328,,,True,uihut_official,2024-11-26,2025-11-25,design,"Get 26,000+ UI Design Resources, Web Templates, Illustrations, UI Kits & Icon Packs for Figma",75e06168-74c1-4f15-b0fa-499c4b126b2e
Pixelay Compare Design to Web,0.0,,0,0.0,17486,446,,,True,hypermatic,2024-11-25,2026-08-07,"design,dev_handoff",Compare your Figma designs with real websites in the browser using smart overlays,8775b3ae-c4a1-4922-9930-2caec3971f1b
Figma Manager,0.0,,0,0.0,16782,347,,,True,jaerpollux,2024-11-25,2025-01-17,design,The fastest and easiest way to organize design systems and Figma documents.,c61ab046-0648-4dc7-a466-126afb245dc1
Frontitude • UX Content Management,0.0,,0,0.0,16721,436,,,True,copy,2024-11-25,2025-12-30,"design,dev_handoff","Create, collaborate, and translate UX content with a single source of truth.",18a837d0-adfc-42ec-8937-19e9ff6b04f3
FigmaGPT-text,0.0,,0,0.0,16577,29,,,True,jacklili,2024-11-26,2024-11-26,"design,whiteboard","chatGPT smart assistant, translate,writing,editing text,design websites, etc.",e0ab6523-9e2a-464b-a8bc-6fa3bd96b1cd
Figma2Android,0.0,,0,0.0,16246,171,,,True,accessible892,2024-11-25,2025-01-17,design,"export, code, kotlin, code export, design to code, jetpack compose, tool",731ebd19-812c-4d63-a1a7-647db9e32428
Image Resizer Plugin,0.0,,0,0.0,15625,79,,,True,imageresizer,2024-11-26,2024-11-26,design,"Swiftly resize images, export them in high-quality formats and automate mockup workflows.",77fbf612-525e-4095-b0e3-0c20d6c694ae
Theme Composer,0.0,,0,0.0,15588,203,,,True,raoufBelakhdar,2024-11-25,2025-02-04,design,From hero sections and contact forms - Elements that you can use to build a website straight away.,6e6fa370-12f0-4f68-81f9-5c37ad021fc9
